City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,timaru,-44.4,171.25,9.48,93,100,2.24,NZ,1748465820
224,khandud,36.9513,72.318,7.93,66,3,1.96,AF,1748465821
225,lihue,21.9789,-159.3672,26.77,57,20,4.12,US,1748465822
226,arkhangel'sk,64.5401,40.5433,17.06,72,75,3.0,RU,1748465823
227,fortuna,40.5982,-124.1573,17.77,72,100,0.0,US,1748465824
228,yuzhno-kurilsk,44.0306,145.8556,9.47,92,98,3.64,RU,1748465825
229,sitka,57.0531,-135.33,10.94,82,100,8.23,US,1748465826
230,susuman,62.7833,148.1667,14.97,43,10,1.31,RU,1748465827
231,betio village,1.358,172.9211,29.02,81,34,7.05,KI,1748465828
232,isafjordur,66.0755,-23.124,5.49,88,99,1.84,IS,1748465829
233,thinadhoo,0.5333,72.9333,28.17,75,51,4.61,MV,1748465830
234,pudozh,61.8099,36.5345,14.13,99,100,1.74,RU,1748465831
235,huarmey,-10.0681,-78.1522,21.78,75,56,5.3,PE,1748465832
236,battle ground,45.7809,-122.5334,28.84,43,7,2.24,US,1748465834
237,chonchi,-42.6128,-73.8092,9.51,94,100,1.22,CL,1748465835
238,constitucion,-35.3333,-72.4167,12.37,60,100,4.26,CL,1748465836
239,grand falls-windsor,48.9332,-55.6649,19.72,46,98,5.29,CA,1748465837
240,san antonio de pale,-1.4014,5.6325,25.46,87,59,3.62,GQ,1748465838
241,plouguerneau,48.6,-4.5,16.36,100,100,3.6,FR,1748465839
242,valparaiso,-33.0393,-71.6273,16.11,55,0,3.09,CL,1748465840
243,lakhdenpokh'ya,61.5198,30.1992,12.59,89,100,0.85,RU,1748465841
244,howard springs,-12.497,131.047,24.95,90,100,2.59,AU,1748465842
245,cabo san lucas,22.8909,-109.9124,33.17,27,20,3.09,MX,1748465145
246,bhilwara,25.35,74.6333,31.96,41,100,6.41,IN,1748465844
247,sumberpucung,-8.1586,112.4829,25.66,99,77,1.39,ID,1748465845
248,hithadhoo,-0.6,73.0833,28.9,71,100,5.49,MV,1748465846
249,santa ana de yacuma,-13.75,-65.4333,17.97,77,75,7.72,BO,1748465848
250,masuda,34.6667,131.85,16.49,56,100,1.22,JP,1748465849
251,santa catalina,9.3337,122.8637,26.89,83,100,1.81,PH,1748465852
252,loikaw,19.6742,97.2094,20.9,99,100,1.61,MM,1748465853
253,alofi,-19.0595,-169.9187,25.94,89,99,2.06,NU,1748465854
254,ulladulla,-35.35,150.4667,10.47,77,59,3.85,AU,1748465855
255,sao miguel do araguaia,-13.275,-50.1628,28.68,36,100,0.89,BR,1748465857
256,cova figueira,14.8905,-24.2934,20.51,59,2,4.0,CV,1748465858
257,asti,44.8979,8.2068,19.88,76,10,1.23,IT,1748465859
258,carupano,10.6678,-63.2585,27.3,79,60,6.07,VE,1748465860
259,carnarvon,-24.8667,113.6333,23.88,70,100,9.23,AU,1748465861
260,mount pearl,47.5166,-52.7813,16.85,57,75,6.17,CA,1748465862
261,bengkulu,-3.8004,102.2655,25.86,85,82,1.46,ID,1748465863
262,darwin,-12.4611,130.8418,24.99,88,40,3.09,AU,1748465864
263,dek'emhare,15.07,39.0475,21.38,40,2,2.65,ER,1748465865
264,yeppoon,-23.1333,150.7333,17.25,47,100,3.04,AU,1748465866
265,burang,30.25,81.1667,4.7,79,97,3.08,CN,1748465867
266,la passe,45.5549,-0.8967,17.93,87,88,2.58,FR,1748465868
267,acarau,-2.8856,-40.12,26.21,80,20,6.11,BR,1748465869
268,vredendal,-31.6683,18.5012,15.32,78,67,1.88,ZA,1748465871
269,kibaya,-5.3,36.5667,14.26,97,69,2.13,TZ,1748465874
270,katsuren-haebaru,26.3369,127.8719,23.21,90,100,9.26,JP,1748465875
271,miquelon,47.0975,-56.3814,7.45,79,100,10.93,PM,1748465876
272,malindi,-3.2175,40.1191,23.09,88,75,10.29,KE,1748465877
273,polva,58.0603,27.0694,13.71,94,100,2.13,EE,1748465878
274,talara,-4.5772,-81.2719,27.42,57,0,8.23,PE,1748465879
275,lensk,60.7253,114.9278,2.27,98,100,3.44,RU,1748465881
